Gender,Best_event,Max_level,n_dist,S,b,E,CS_ms,CS_kmh,D_prime
Female,800,Interregional,3,11.839805,0.150734,0.849266,4.098399,14.75424,238.701
Female,3000,Regional,4,8.471165,0.114019,0.885981,3.472362,12.5005,300.803
Male,10000,International,3,9.240036,0.06069,0.93931,5.776457,20.79525,231.216
Female,800,National,5,11.016511,0.126892,0.873108,4.4843,16.14348,182.37
Male,3000,Regional,3,8.769662,0.081584,0.918416,4.771269,17.17657,229.919
Male,800,Regional,3,13.624898,0.16717,0.83283,4.271629,15.37786,251.078
Male,800,Interregional,4,14.315575,0.160411,0.839589,4.868719,17.52739,195.843
Female,800,National,3,11.193299,0.120742,0.879258,5.340395,19.22542,99.582
Male,400,Regional,3,16.163619,0.213003,0.786997,3.63439,13.08381,231.434
Male,1500,Regional,3,11.598249,0.133538,0.866462,4.536036,16.32973,229.797
Male,1500,Regional,3,11.130607,0.124403,0.875597,4.665072,16.79426,211.052
Male,3000,Regional,3,8.354059,0.072074,0.927926,4.879305,17.5655,207.075
Male,3000,Regional,3,11.112894,0.119527,0.880473,4.641034,16.70772,245.169
Female,1500,Regional,3,8.759649,0.114004,0.885996,3.691074,13.28786,234.056
Female,1500,Interregional,3,9.547441,0.115136,0.884864,4.036685,14.53206,233.354
Male,800,Interregional,4,18.548582,0.212932,0.787068,3.682362,13.2565,373.602
Female,3000,Regional,3,8.61633,0.114936,0.885064,3.822337,13.76041,172.956
Male,10000,National,4,8.851174,0.062032,0.937968,5.481181,19.73225,232.59
Male,800,Regional,5,10.726431,0.127455,0.872545,4.321856,15.55868,185.545
Male,400,Regional,4,11.803063,0.144776,0.855224,4.194661,15.10078,204.64
Male,800,Regional,3,12.521554,0.141997,0.858003,5.244733,18.88104,115.93
Male,10000,Interregional,5,9.048265,0.079113,0.920887,4.908776,17.67159,239.725
Female,800,Regional,3,10.061957,0.137285,0.862715,3.831372,13.79294,200.581
Male,5000,National,3,8.086535,0.044785,0.955215,5.858182,21.08946,116.643
Male,1500,Interregional,3,12.115875,0.127748,0.872252,4.981402,17.93305,223.611
Male,1500,National,3,12.543831,0.118878,0.881122,6.235227,22.44682,88.88
Male,10000,Regional,3,7.411234,0.06235,0.93765,4.494205,16.17914,280.99
Male,10000,Regional,3,7.144897,0.054241,0.945759,4.673006,16.82282,133.303
Male,1500,Interregional,3,11.301805,0.111569,0.888431,5.758235,20.72964,90.834
Female,400,Regional,3,13.502842,0.216382,0.783618,3.291793,11.85045,169.299
Male,1500,National,4,11.201763,0.095322,0.904678,5.416883,19.50078,259.737
Male,10000,Regional,3,8.607805,0.07937,0.92063,4.669229,16.80922,155.111
Male,400,Regional,3,15.390084,0.187333,0.812667,4.85695,17.48502,148.225
Female,1500,Regional,4,7.550795,0.086253,0.913747,3.776449,13.59522,247.617
Male,800,Regional,3,13.66247,0.166175,0.833825,4.276116,15.39402,263.313
Male,400,Regional,3,12.50583,0.159315,0.840685,4.356958,15.68505,139.173
Male,10000,Interregional,4,9.596409,0.079684,0.920316,5.225269,18.81097,205.855
Male,400,Interregional,3,20.086037,0.235958,0.764042,4.701078,16.92388,183.806
Female,400,Regional,3,11.911042,0.17731,0.82269,3.088839,11.11982,273.207
Male,1500,Regional,3,9.770853,0.09502,0.90498,4.89883,17.63579,222.094
Female,800,National,4,12.318435,0.154038,0.845962,3.88684,13.99262,261.258
Male,800,Interregional,4,16.695823,0.188649,0.811351,4.526153,16.29415,259.12
Female,1500,Interregional,3,10.14091,0.116586,0.883414,4.931754,17.75431,93.609
Male,1500,Interregional,4,11.917502,0.124978,0.875022,5.073277,18.2638,173.473
Male,800,Regional,3,14.883706,0.18843,0.81157,4.583766,16.50156,154.634
Male,3000,Regional,3,9.522876,0.104305,0.895695,4.687718,16.87578,144.232
Male,10000,Regional,3,8.645715,0.095979,0.904021,4.088735,14.71945,191.485
Male,1500,National,5,13.719624,0.139094,0.860906,5.057554,18.2072,248.384
Male,400,Interregional,3,15.719576,0.172227,0.827773,5.587369,20.11453,133.99
Male,3000,Regional,3,7.9231,0.073882,0.926118,4.505809,16.22091,233.866
Male,1500,Regional,3,12.833643,0.142598,0.857402,4.787115,17.23362,232.492
Male,800,Interregional,5,13.55657,0.146009,0.853991,4.855143,17.47851,218.616
Male,400,Interregional,3,19.93302,0.232362,0.767638,4.685069,16.86625,194.491
Male,1500,Interregional,3,11.659696,0.115457,0.884543,5.812269,20.92417,93.664
Female,10000,Regional,3,5.638165,0.072476,0.927524,3.110217,11.19678,225.331
Male,1500,Regional,3,8.96949,0.08704,0.91296,4.73868,17.05925,210.742
Female,1500,Regional,3,8.48908,0.115015,0.884985,3.684844,13.26544,199.945
Male,800,Interregional,3,17.902558,0.213371,0.786629,4.654806,16.7573,190.158
Female,3000,Regional,3,9.979791,0.132228,0.867772,4.054146,14.59493,136.894
Male,800,Regional,3,12.738191,0.151537,0.848463,5.004571,18.01646,122.924
Male,400,Regional,4,13.520955,0.171466,0.828534,4.176957,15.03704,205.391
Male,1500,Interregional,5,10.965371,0.11084,0.88916,4.589251,16.5213,276.749
Male,400,Regional,3,19.240159,0.248956,0.751044,4.260574,15.33806,154.811
Male,1500,Regional,4,11.560869,0.140046,0.859954,4.413731,15.88943,179.556
Male,3000,Regional,3,8.677739,0.09252,0.90748,4.289214,15.44117,275.265
Male,5000,Regional,3,8.15007,0.066835,0.933165,4.992281,17.97221,171.015
Male,1500,Interregional,4,9.981154,0.085758,0.914242,5.182565,18.65723,222.339
Male,10000,Regional,5,7.591555,0.069975,0.930025,4.382503,15.77701,169.68
Male,400,Regional,4,15.449053,0.185708,0.814292,4.567363,16.44251,177.722
Male,1500,Interregional,3,9.752522,0.081532,0.918468,5.406732,19.46423,205.544
Male,1500,National,3,11.376335,0.106209,0.893791,5.519691,19.87089,176.94
Male,800,Regional,4,13.172197,0.160322,0.839678,4.12788,14.86037,231.95
Male,1500,Interregional,4,9.854214,0.089934,0.910066,5.128795,18.46366,200.714
Female,800,Interregional,4,10.999399,0.137506,0.862494,3.630065,13.06823,279.143
Female,400,Regional,3,12.624663,0.180851,0.819149,3.984709,14.34495,145.947
Male,10000,Regional,6,8.354091,0.077362,0.922638,4.65203,16.74731,166.303
Male,1500,Interregional,3,10.468376,0.100604,0.899396,4.988578,17.95888,271.396
Female,1500,Regional,3,9.114891,0.115385,0.884615,4.025457,14.49165,185.185
Male,800,Regional,6,11.723185,0.128016,0.871984,4.461627,16.06186,254.657
Male,5000,National,3,9.072127,0.061447,0.938553,5.846447,21.04721,152.278
Male,1500,Regional,3,11.040242,0.129307,0.870693,4.511108,16.23999,198.891
Male,10000,National,5,8.573023,0.055347,0.944653,5.663866,20.38992,150.154
Male,800,Regional,3,16.06192,0.202104,0.797896,4.01308,14.44709,263.634
Female,1500,Interregional,3,10.563195,0.127778,0.872222,4.034459,14.52405,272.558
Male,1500,Interregional,4,13.867604,0.146762,0.853238,4.775359,17.19129,247.01
Male,800,National,3,14.612835,0.14275,0.85725,6.297541,22.67115,110.897
Male,800,Regional,3,14.195498,0.167309,0.832691,5.045432,18.16355,140.04
Male,800,Regional,3,12.828526,0.152812,0.847188,4.458331,16.04999,233.134
Female,1500,Interregional,3,10.704928,0.129557,0.870443,4.309192,15.51309,210.804
Male,800,Interregional,3,16.450824,0.189286,0.810714,5.036542,18.13155,170.188
Male,800,Regional,3,13.141325,0.155774,0.844226,4.95301,17.83084,137.715
Male,1500,Regional,3,11.010133,0.116295,0.883705,4.743579,17.07689,188.317
Male,3000,Regional,3,8.429051,0.085026,0.914974,4.423021,15.92288,251.866
Male,10000,Interregional,5,9.473593,0.087217,0.912783,4.89528,17.62301,218.018
Male,1500,Regional,4,12.079392,0.133941,0.866059,4.86179,17.50245,173.514
Male,1500,Regional,3,8.282388,0.084515,0.915485,4.566393,16.43901,145.886
Male,800,Interregional,5,13.408504,0.142743,0.857257,4.903934,17.65416,217.393
Male,10000,National,4,6.799083,0.023142,0.976858,5.627287,20.25823,130.817
Male,1500,Regional,3,11.688874,0.129165,0.870835,4.411521,15.88148,373.262
Female,3000,Interregional,3,8.063898,0.085392,0.914608,3.977248,14.31809,450.996
Male,800,Regional,4,13.866633,0.16462,0.83538,4.344854,15.64147,241.277
Male,800,Regional,3,13.650052,0.172793,0.827207,4.514988,16.25396,160.069
Female,3000,Regional,3,7.518372,0.114241,0.885759,3.294652,11.86075,172.165
Male,3000,Regional,4,6.846099,0.058555,0.941445,4.449675,16.01883,124.019
Male,800,Regional,3,13.304552,0.152955,0.847045,4.632647,16.67753,238.032
Male,800,Interregional,3,13.024164,0.146955,0.853045,5.209321,18.75355,132.146
Male,800,Interregional,3,14.03176,0.155144,0.844856,5.431815,19.55454,130.294
Male,400,Interregional,3,16.030838,0.186828,0.813172,5.1131,18.40716,149.499
Female,1500,Interregional,3,9.192397,0.099968,0.900032,4.334666,15.6048,273.031
Male,10000,Regional,4,6.987528,0.054963,0.945037,4.463684,16.06926,257.051
Female,800,Regional,3,12.351167,0.174752,0.825248,4.05685,14.60466,142.451
Male,800,Regional,3,15.071479,0.18469,0.81531,4.091921,14.73092,301.95
Male,800,Regional,3,12.525008,0.149093,0.850907,4.429152,15.94495,238.742
Male,800,Regional,3,13.550878,0.169809,0.830191,4.676205,16.83434,143.203
Female,1500,Regional,3,8.528871,0.11319,0.88681,3.552879,12.79036,316.938
Female,1500,Interregional,3,9.647924,0.111116,0.888884,4.446856,16.00868,175.789
Female,800,National,5,11.44173,0.130644,0.869356,4.518793,16.26766,195.599
Male,1500,Interregional,6,11.286013,0.112739,0.887261,4.80055,17.28198,253.682
Male,800,Interregional,4,14.544369,0.160822,0.839178,4.917993,17.70477,201.895
Male,800,Interregional,3,19.433272,0.233284,0.766716,4.41009,15.87632,207.498
Male,1500,Interregional,3,12.3505,0.131693,0.868307,4.699431,16.91795,270.671
Male,800,National,3,14.891838,0.159441,0.840559,5.642335,20.31241,135.125
Male,800,Regional,4,15.382585,0.189578,0.810422,4.260303,15.33709,213.295
Male,3000,Regional,4,8.765994,0.084092,0.915908,4.801074,17.28387,156.795
Male,800,Interregional,3,16.094727,0.190749,0.809251,4.255099,15.31836,230.202
Male,1500,National,5,10.629353,0.092635,0.907365,5.270954,18.97544,197.087
Male,1500,Regional,5,10.028683,0.109219,0.890781,4.548219,16.37359,186.394
Male,400,Regional,4,12.499144,0.144348,0.855652,4.490338,16.16522,187.42
Male,800,Regional,3,12.955806,0.157518,0.842482,4.924234,17.72724,122.956
Male,1500,Regional,3,11.144786,0.126522,0.873478,4.644025,16.71849,199.664
Female,800,National,3,14.16519,0.176075,0.823925,4.729571,17.02645,145.381
Female,1500,Regional,3,10.072109,0.144946,0.855054,3.532112,12.7156,238.769
Female,400,Regional,3,13.829767,0.221321,0.778679,3.275675,11.79243,169.896
Male,1500,Regional,3,11.408381,0.129569,0.870431,5.18637,18.67093,99.415
Female,3000,Interregional,3,6.848884,0.060678,0.939322,4.302777,15.49,186.649
Male,1500,Interregional,3,8.608708,0.069955,0.930045,5.122432,18.44076,164.676
Male,5000,Regional,4,10.975649,0.118577,0.881423,4.872117,17.53962,136.604
Male,800,Regional,3,14.014736,0.169201,0.830799,4.314877,15.53356,263.392
Male,800,Interregional,3,14.081065,0.157706,0.842294,5.40083,19.44299,126.619
Female,400,Regional,4,11.005386,0.156157,0.843843,3.779435,13.60597,166.174
Male,400,Interregional,3,19.328763,0.234849,0.765151,4.601255,16.56452,170.548
Female,1500,National,5,10.069423,0.108678,0.891322,4.26263,15.34547,267.559
Female,800,Interregional,3,16.07371,0.216356,0.783644,3.961914,14.26289,192.772
Male,400,Regional,3,17.82992,0.221542,0.778458,4.435164,15.96659,183.558
Male,3000,Interregional,3,8.753876,0.070957,0.929043,5.134831,18.48539,226.257
Female,800,Regional,3,12.131759,0.165509,0.834491,3.702495,13.32898,271.661
Male,3000,Interregional,4,8.764288,0.070549,0.929451,5.29324,19.05566,144.238
Female,5000,National,3,8.795681,0.083852,0.916148,4.471013,16.09565,351.167
Female,1500,Interregional,3,9.627891,0.114872,0.885128,4.288137,15.43729,188.175
Male,1500,Regional,3,9.445442,0.091512,0.908488,4.874584,17.5485,202.058
Male,800,Regional,4,13.378424,0.151991,0.848009,4.890621,17.60624,167.218
Male,800,Regional,4,12.424567,0.142341,0.857659,4.490673,16.16642,205.151
Female,400,Regional,3,11.215589,0.168833,0.831167,3.445489,12.40376,171.442
Male,1500,Regional,3,10.289032,0.103944,0.896056,4.811097,17.31995,212.515
Male,5000,Regional,3,8.021849,0.077584,0.922416,4.567498,16.44299,162.136
Female,1500,National,3,9.430071,0.101145,0.898855,4.433912,15.96208,219.141
Male,3000,National,6,9.387249,0.068239,0.931761,5.534898,19.92563,202.085
